Tempo,MSE,RMSE,MAE,Max_Error,PSNR,SSIM,Delta_E
Iteração 1,0.7477,0.8647,0.232,5.0,49.3936,0.9987,0.4793
Iteração 2,0.3852,0.6206,0.1198,5.0,52.2738,0.9993,0.2459
